cz,is_green_soc,year,num_postings
48,0,2023,851
48,0,2024,1153
48,1,2010,27
48,1,2011,49
48,1,2012,141
48,1,2013,92
48,1,2014,146
48,1,2015,190
48,1,2016,165
48,1,2017,139
48,1,2018,114
48,1,2019,83
48,1,2020,58
48,1,2021,99
48,1,2022,214
48,1,2023,186
48,1,2024,140
49,0,2010,25645
49,0,2011,31247
49,0,2012,36803
49,0,2013,45946
49,0,2014,46748
49,0,2015,55679
49,0,2016,58833
49,0,2017,52258
49,0,2018,60213
49,0,2019,53222
49,0,2020,68655
49,0,2021,104566
49,0,2022,132643
49,0,2023,102322
49,0,2024,94129
